Book ID,Name,Weight
1,BetOnline,8
2,JustBet,8
3,Pinnacle,10
4,Intertops,8
5,CRIS,10
7,BetUS,6
8,MyBookie,6
9,YouWager,7
10,Island,8
11,SportsbookDotCom,5
12,Sports Interaction,6
13,Caesars TN,6
14,Westgate,10
15,Consensus,1
16,Heritage,9
18,Stations,6
20,Stratosphere,6
21,Bovada,6
23,ABC,5
25,CoastsCasino,5
27,Carib,5
29,SBG,5
30,Open,0
31,South Point,7
34,Bookmaker,10
35,Matchbook,8
36,Jazz,6
37,Sportbet,6
39,BetDSI,7
42,BetMania,6
43,Jerry's Nugget,5
46,Treasure Island,5
50,GTBets,6
52,Loose Lines,5
56,LowVig,7
60,SBO,7
61,TopBet,5
62,VietBet,6
64,Nitrogen,7
74,Parx,6
78,Circa,10
281,BetMGM TN,6
286,DraftKings TN,6
357,BetRivers VA,6
841,Betfred AZ,6
873,Play Gun Lake,5
910,Betway IN,6
1073,William Hill Canada,6
1138,FanDuel TN,6
1241,TonyBet,5
1242,LeoVegas Ontario,5
1269,Novibet,5
1302,Bet99 Canada,5
1303,Bet99 ON,5
1467,Prophet,5
1798,ESPN BET TN,7
1902,Resorts World Bet NY,5
1921,Hard Rock TN,5
2061,PointsBet OH,8
2194,PrizePicks,5
2292,Fliff,5
2394,RushBet MX,5
2396,Fanatics TN,6
2412,NorthStarBets ON,5
2419,GaleraBet,5
2426,Sportsbook RI,5
2493,188Bet,7
2495,1xBet,7
2518,BetAtHomeCom,6
2519,Bet3000,5
2520,BetClic,6
2525,Betfair UK,8
2527,Betflag IT,5
2528,Bethard,5
2530,BWin,6
2534,CasaPariurilor,5
2535,CashPoint,5
2536,Circus NL,5
2540,Coral,6
2541,Dafabet,6
2545,Efbet,5
2546,eFortuna PL,5
2549,Expekt DK,5
2551,Fonbet,5
2558,Interwetten,6
2559,Ladbrokes,6
2563,LiveScoreBet UK,6
2565,Luckia ES,5
2567,Marathon,6
2572,Mozzartbet,5
2574,NetBet,6
2576,NordicBet,6
2579,OlyBet,5
2580,PaddyPower,6
2581,Paf ES,5
2582,Pamestoixima,5
2585,Pokerstars,6
2588,Skybet,6
2590,SportingBet,6
2593,Spreadex,7
2594,Sts PL,5
2595,Superbet PL,5
2596,Superbet RO,5
2597,SvenskaSpel,5
2601,VBet,5
2628,Caliente,5
2671,Casumo ON,5
2673,Betinia,5
2676,Bet9ja,5
2677,Yajuego,5
2822,BetKingNGA,5
2952,Betsson GRC,6
2991,Vistabet GRC,5
3084,32Red,6
3085,Tote,5
3086,Ringprices,5
3087,Boylesports,6
3088,SBK,6
3089,BetVictor UK,7
3249,LeBull,5
3250,FonBetGRC,5
3287,BetanoUK,5
3326,CrabsSports,5
3348,Underdog,5
3384,CodereCOL,5
3447,Campo,5
3513,CasinoGranMadridESP,5
3520,GGBetHUN,5
3581,CoolbetPER,5
3583,LuckySports,5
3612,Sleeper,5
3712,SolverdePRT,7
3780,Virginbet,6
3848,Bally Bet TN,6
3948,ComeOnDNK,5
4015,NeobetDE,5
4120,KTO,5
4121,Winamax DE,6
4154,Oddset DE,5
4221,Winmasters,5
4256,bet365 TN,8
4289,Superbet BR,5
4322,VidaVegas,5
4356,BetBoomBR,5
